GEOID,LILATracts_1And10,lapop1,lalowi1
47015960100,0.0,3474,1443
47015960201,0.0,267,124
47015960202,0.0,3820,1767
47015960300,0.0,3340,514
47021070102,0.0,4114,1501
47021070103,0.0,3643,1205
47021070104,0.0,4744,1764
47021070201,0.0,2303,318
47021070202,0.0,5176,1559
47021070203,0.0,3543,1053
47021070300,0.0,476,181
47021070401,0.0,2507,464
47021070402,0.0,5361,1631
47037010103,0.0,2377,698
47037010104,0.0,2612,731
47037010105,0.0,2552,623
47037010106,1.0,2685,988
47037010201,0.0,4024,1338
47037010202,0.0,3383,549
47037010301,1.0,2435,1076
47037010302,0.0,212,97
47037010303,0.0,2,1
47037010401,0.0,75,30
47037010403,1.0,1345,731
47037010404,1.0,935,508
47037010501,0.0,1215,457
47037010502,1.0,1151,346
47037010601,0.0,5005,1697
47037010602,1.0,3297,1332
47037010701,0.0,76,26
47037010702,0.0,0,0
47037010801,1.0,846,241
47037010802,0.0,226,70
47037010901,0.0,2316,677
47037010903,1.0,963,570
47037010904,1.0,810,462
47037011001,0.0,0,0
47037011002,0.0,0,0
47037011100,0.0,752,201
47037011200,0.0,7,2
47037011300,0.0,0,0
47037011400,0.0,5,3
47037011500,0.0,3030,744
47037011600,0.0,4474,1201
47037011700,0.0,66,7
47037011800,0.0,0,0
47037011900,0.0,0,0
47037012100,0.0,153,11
47037012200,0.0,22,6
47037012600,0.0,0,0
47037012701,1.0,4864,2836
47037012702,1.0,1535,449
47037012801,1.0,772,521
47037012802,1.0,1977,587
47037013001,0.0,1436,0
47037013002,0.0,502,0
47037013100,0.0,2174,643
47037013201,0.0,401,95
47037013202,0.0,560,219
47037013300,0.0,60,31
47037013400,0.0,0,0
47037013500,0.0,0,0
47037013600,1.0,3698,2883
47037013701,0.0,16,8
47037013702,0.0,32,17
47037013800,0.0,0,0
47037013900,0.0,0,0
47037014200,0.0,151,113
47037014300,1.0,1265,774
47037014400,0.0,15,7
47037014800,1.0,845,771
47037015100,0.0,57,15
47037015200,0.0,149,18
47037015300,0.0,4405,621
47037015401,0.0,1211,186
47037015402,0.0,1459,403
47037015404,1.0,581,288
47037015405,0.0,818,275
47037015501,0.0,895,193
47037015502,1.0,2277,933
47037015609,0.0,383,48
47037015613,1.0,1538,375
47037015614,0.0,0,0
47037015615,0.0,84,44
47037015617,0.0,406,89
47037015618,0.0,0,0
47037015619,0.0,2567,840
47037015620,1.0,1500,512
47037015622,0.0,2921,760
47037015623,0.0,348,96
47037015624,0.0,732,170
47037015625,0.0,4437,1277
47037015626,0.0,0,0
47037015627,1.0,756,332
47037015628,0.0,192,104
47037015629,0.0,156,25
47037015630,0.0,553,160
47037015632,0.0,1396,225
47037015633,0.0,5395,870
47037015634,0.0,2364,657
47037015635,0.0,4141,1150
47037015636,0.0,131,40
47037015637,0.0,592,178
47037015700,0.0,0,0
47037015804,0.0,150,84
47037015805,0.0,0,0
47037015806,0.0,2,2
47037015900,1.0,2244,1885
47037016000,1.0,2971,2405
47037016100,1.0,548,290
47037016200,1.0,547,323
47037016300,0.0,0,0
47037016400,0.0,0,0
47037016500,0.0,0,0
47037016600,0.0,0,0
47037016700,0.0,354,45
47037016800,0.0,0,0
47037016900,0.0,0,0
47037017000,0.0,0,0
47037017100,0.0,0,0
47037017200,1.0,439,276
47037017300,1.0,1698,1002
47037017401,0.0,0,0
47037017402,0.0,0,0
47037017500,0.0,0,0
47037017701,0.0,1431,186
47037017702,0.0,970,108
47037017800,0.0,138,20
47037017901,0.0,391,20
47037017902,0.0,809,115
47037018000,0.0,0,0
47037018101,0.0,0,0
47037018102,0.0,186,21
47037018201,0.0,1160,139
47037018203,0.0,1385,42
47037018204,0.0,1094,390
47037018205,0.0,2894,1033
47037018302,0.0,2641,218
47037018303,0.0,3035,360
47037018304,0.0,1914,227
47037018404,0.0,2405,500
47037018405,0.0,1266,220
47037018407,0.0,2378,277
47037018408,0.0,728,30
47037018409,0.0,1316,206
47037018410,0.0,26,6
47037018411,0.0,945,333
47037018412,0.0,877,310
47037018500,0.0,4375,182
47037018601,0.0,2281,216
47037018602,0.0,3952,230
47037018700,0.0,2722,112
47037018801,0.0,4374,524
47037018803,0.0,33,2
47037018804,0.0,1561,218
47037018901,0.0,371,164
47037018902,0.0,1193,297
47037018904,0.0,10,3
47037018905,0.0,887,295
47037019003,0.0,0,0
47037019004,0.0,0,0
47037019007,0.0,0,0
47037019008,0.0,0,0
47037019105,0.0,0,0
47037019106,0.0,0,0
47037019108,0.0,0,0
47037019109,1.0,877,450
47037019110,0.0,492,269
47037019111,1.0,3995,1692
47037019112,0.0,1835,765
47037019115,0.0,3600,469
47037019116,0.0,1172,200
47037019117,0.0,3936,1072
47037019118,1.0,4609,1712
47037019119,0.0,5170,761
47037019120,0.0,420,62
47037019121,0.0,558,82
47037019200,0.0,0,0
47037019300,0.0,0,0
47037019401,0.0,0,0
47037019402,0.0,0,0
47037019501,0.0,3,1
47037019502,0.0,4,2
47037019503,0.0,6,2
47037019600,0.0,3700,1029
47037980100,,0,0
47037980200,,0,0
47043060100,0.0,4210,1368
47043060201,0.0,3876,1762
47043060202,0.0,1714,779
47043060300,0.0,4682,1470
47043060401,0.0,2965,560
47043060402,0.0,5666,1412
47043060501,0.0,1634,587
47043060502,0.0,2964,876
47043060601,0.0,3577,1735
47043060602,0.0,2446,681
47043060700,0.0,4388,1487
47081950100,0.0,5528,2182
47081950201,0.0,5312,2587
47081950202,0.0,1657,807
47081950301,0.0,2845,1460
47081950302,0.0,3897,1557
47081950400,0.0,2026,760
47081950500,1.0,2403,990
47111970100,0.0,4260,2157
47111970200,0.0,5707,1367
47111970301,1.0,432,221
47111970302,1.0,2678,1368
47111970400,0.0,4168,1415
47119010100,0.0,3528,1155
47119010201,0.0,4485,709
47119010203,0.0,1528,365
47119010204,0.0,939,224
47119010205,0.0,2682,641
47119010301,0.0,6092,628
47119010302,0.0,2709,286
47119010401,1.0,833,261
47119010402,1.0,2684,841
47119010500,1.0,1312,481
47119010600,1.0,588,280
47119010700,0.0,0,0
47119010801,0.0,873,185
47119010802,1.0,5058,2272
47119010900,0.0,3416,986
47119011001,0.0,2454,714
47119011003,0.0,2538,1302
47119011004,0.0,1164,597
47119011101,0.0,2472,281
47119011102,0.0,1618,131
47119011200,0.0,5905,1388
47147080101,0.0,4018,1127
47147080103,0.0,1931,318
47147080104,0.0,6417,1773
47147080200,0.0,5823,2096
47147080301,0.0,1429,560
47147080302,0.0,14,5
47147080401,0.0,265,116
47147080402,0.0,422,108
47147080500,0.0,4087,765
47147080603,0.0,3951,1044
47147080604,0.0,3335,577
47147080605,0.0,2995,719
47147080606,0.0,4668,1280
47147080701,0.0,4658,1060
47147080702,0.0,2685,611
47149040101,0.0,2985,1358
47149040102,0.0,3667,997
47149040104,0.0,128,51
47149040105,0.0,535,232
47149040106,0.0,2654,878
47149040107,0.0,3690,1221
47149040200,0.0,1814,462
47149040303,0.0,0,0
47149040304,0.0,125,42
47149040305,0.0,0,0
47149040307,0.0,372,35
47149040308,0.0,366,116
47149040309,0.0,1612,333
47149040310,0.0,639,132
47149040311,0.0,0,0
47149040312,0.0,0,0
47149040404,1.0,1298,568
47149040405,1.0,1430,625
47149040501,0.0,7129,1201
47149040502,0.0,6606,1357
47149040600,0.0,4372,917
47149040702,0.0,4705,918
47149040703,0.0,2075,348
47149040704,0.0,4717,791
47149040806,0.0,6294,1383
47149040807,0.0,4957,781
47149040808,0.0,4830,646
47149040809,0.0,3743,928
47149040810,0.0,1973,519
47149040811,0.0,5038,1136
47149040812,0.0,1727,389
47149040901,0.0,1916,465
47149040904,0.0,3213,545
47149040906,0.0,190,27
47149040907,0.0,389,55
47149040908,0.0,1064,296
47149040909,0.0,1341,373
47149040910,0.0,987,140
47149040911,0.0,1409,199
47149041000,0.0,5723,1366
47149041102,0.0,2438,704
47149041103,0.0,1322,354
47149041104,0.0,2517,674
47149041201,0.0,1309,175
47149041202,0.0,3530,1013
47149041301,0.0,2350,259
47149041302,0.0,1552,275
47149041401,0.0,0,0
47149041404,0.0,0,0
47149041405,0.0,0,0
47149041406,1.0,278,138
47149041407,1.0,473,235
47149041500,1.0,551,354
47149041601,0.0,3,2
47149041602,0.0,2,2
47149041700,1.0,2066,806
47149041800,1.0,1842,690
47149041900,0.0,0,0
47149042000,0.0,4,1
47149042101,0.0,235,126
47149042102,0.0,125,67
47149042200,0.0,198,32
47149042301,0.0,2726,831
47149042302,0.0,2345,715
47159975000,0.0,3931,1614
47159975100,1.0,620,228
47159975200,0.0,4764,2035
47159975300,0.0,2104,797
47159975400,0.0,4463,1579
47165020101,0.0,2556,979
47165020102,0.0,3872,1880
47165020203,0.0,2350,569
47165020204,0.0,2922,823
47165020205,0.0,2772,777
47165020206,0.0,1253,396
47165020207,0.0,1667,506
47165020208,0.0,2360,787
47165020209,0.0,1911,457
47165020300,1.0,1163,580
47165020403,0.0,1772,344
47165020404,0.0,1946,360
47165020405,0.0,1605,261
47165020406,0.0,3354,486
47165020407,0.0,3770,872
47165020501,0.0,1783,263
47165020502,0.0,3222,399
47165020503,0.0,1932,549
47165020601,0.0,3215,663
47165020602,0.0,3890,1255
47165020603,0.0,3242,620
47165020700,1.0,731,236
47165020800,1.0,1048,728
47165020901,0.0,1399,325
47165020903,0.0,1374,286
47165020904,1.0,1839,977
47165020905,1.0,1625,863
47165021002,0.0,4806,1149
47165021004,0.0,3707,1113
47165021005,0.0,4786,1025
47165021006,0.0,3145,368
47165021007,0.0,1809,175
47165021008,0.0,3716,263
47165021009,0.0,1163,176
47165021103,0.0,5472,769
47165021104,0.0,0,0
47165021105,0.0,1483,560
47165021106,0.0,277,63
47165021107,0.0,2751,722
47165021201,0.0,6353,568
47165021203,0.0,4061,348
47165021204,0.0,5489,929
47165021205,0.0,684,78
47169090100,0.0,5279,1969
47169090200,0.0,944,354
47187050102,0.0,3822,203
47187050103,0.0,4011,442
47187050104,0.0,1972,126
47187050105,0.0,4905,312
47187050204,0.0,4196,93
47187050205,0.0,1751,167
47187050206,0.0,2855,79
47187050207,0.0,3484,186
47187050209,0.0,2888,219
47187050210,0.0,2036,154
47187050211,0.0,1565,105
47187050212,0.0,1304,87
47187050303,0.0,2584,86
47187050304,0.0,658,57
47187050305,0.0,2362,68
47187050306,0.0,559,56
47187050307,0.0,459,109
47187050403,0.0,1305,72
47187050404,0.0,6351,308
47187050405,0.0,2306,123
47187050406,0.0,5052,412
47187050502,0.0,3778,756
47187050503,0.0,3087,929
47187050504,0.0,1421,240
47187050601,0.0,660,1
47187050603,0.0,173,30
47187050604,0.0,2964,506
47187050701,0.0,330,25
47187050702,0.0,596,36
47187050801,0.0,3230,1153
47187050802,0.0,1769,632
47187050904,0.0,2618,1285
47187050905,0.0,5,1
47187050906,0.0,3296,269
47187050907,0.0,1238,145
47187050908,0.0,1746,76
47187050909,0.0,2229,183
47187051001,0.0,1170,82
47187051002,0.0,3471,349
47187051100,0.0,5578,499
47187051203,0.0,3277,783
47187051204,0.0,791,189
47187051205,0.0,6115,597
47187051206,0.0,1558,152
47187051207,0.0,1264,123
47187051208,0.0,1583,154
47189030102,0.0,6639,1921
47189030103,0.0,2617,310
47189030104,0.0,2011,238
47189030105,0.0,1189,141
47189030202,0.0,4637,778
47189030203,0.0,2963,218
47189030205,0.0,1732,322
47189030206,0.0,2911,542
47189030207,0.0,1694,315
47189030303,0.0,4394,718
47189030304,0.0,5540,811
47189030305,0.0,4068,421
47189030308,0.0,4355,717
47189030309,0.0,3326,528
47189030310,0.0,2728,380
47189030311,0.0,2893,403
47189030401,0.0,32,13
47189030402,1.0,710,203
47189030500,1.0,662,261
47189030600,1.0,1481,544
47189030700,1.0,1256,712
47189030800,0.0,5693,1773
47189030904,0.0,3523,518
47189030905,0.0,3197,444
47189030906,0.0,5260,722
47189030907,0.0,2884,400
47189030908,0.0,1374,189
47189031000,0.0,4053,1095
